wtInsv__insvInsv	wtElba3__elba3Elba3	wtElba2__elba2Elba2	wtElba1__elba1Elba1	insvElba3__elba3Elba3	insvElba2__elba2Elba2	insvElba1__elba1Elba1	elba3Insv__insvInsv	elba3Elba2__elba2Elba2	elba2Insv__insvInsv	elba2Elba3__elba3Elba3	elba2Elba1__elba1Elba1	elba1Insv__insvInsv	elba1Elba3__elba3Elba3	elba1Elba2__elba2Elba2	Total	Name
X	X	X	X	X		X			X	X			X		10	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
							X		X			X			178	elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
							X		X			X	X		6	elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
							X		X			X	X	X	1	elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3|elba1Elba2__elba2Elba2
						X	X		X			X			8	insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X		X	X	X	X	X		X	X	X	X	X		8	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
			X	X		X	X		X			X			1	wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X						X									3	wtInsv__insvInsv|insvElba1__elba1Elba1
X				X			X					X			1	wtInsv__insvInsv|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba1Insv__insvInsv
X				X	X		X		X						1	wtInsv__insvInsv|insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba3Insv__insvInsv|elba2Insv__insvInsv
X	X	X	X			X	X		X			X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X	X	X	X	X	X				X	X	X			1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv
X							X		X			X			606	wtInsv__insvInsv|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X							X		X			X		X	2	wtInsv__insvInsv|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba2__elba2Elba2
X							X		X			X	X		20	wtInsv__insvInsv|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X				X		X	X					X			2	wtInsv__insvInsv|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba1Insv__insvInsv
X			X			X			X						2	wtInsv__insvInsv|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba2Insv__insvInsv
X						X	X		X			X			29	wtInsv__insvInsv|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X						X	X		X			X	X		2	wtInsv__insvInsv|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X			X		X	X		X	X		X			9	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X			X		X	X		X	X		X	X		44	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
				X					X	X		X	X		1	insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X			X	X		X	X		X			X			6	wtInsv__insvInsv|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X			X	X		X	X		X			X	X		1	wtInsv__insvInsv|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X	X	X	X	X	X	X	X	X	X		X			1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X	X	X	X	X	X	X	X	X	X		X		X	1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba2__elba2Elba2
X	X	X	X	X	X	X	X	X	X	X		X	X		11	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X	X	X	X	X	X	X	X	X	X		X	X	X	3	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3|elba1Elba2__elba2Elba2
X	X	X		X						X		X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X		X												82	wtElba3__elba3Elba3|wtElba1__elba1Elba1
	X		X										X		3	wtElba3__elba3Elba3|wtElba1__elba1Elba1|elba1Elba3__elba3Elba3
				X				X							1	insvElba3__elba3Elba3|elba3Elba2__elba2Elba2
X	X	X	X	X					X	X		X	X		2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X	X	X	X		X			X	X		X			1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X	X	X	X		X			X	X		X	X		9	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
				X			X		X	X					1	insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
				X	X	X	X		X			X			1	insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X	X	X	X				X							1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba3Elba2__elba2Elba2
						X	X								2	insvElba1__elba1Elba1|elba3Insv__insvInsv
X	X	X	X	X		X	X		X	X					1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X						X						X			1	wtInsv__insvInsv|insvElba1__elba1Elba1|elba1Insv__insvInsv
X	X	X	X	X		X	X		X	X			X		2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X				X	X	X	X		X			X			1	wtInsv__insvInsv|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X					X			X	X		X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X			X					X						12	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv
		X	X												4	wtElba2__elba2Elba2|wtElba1__elba1Elba1
	X			X					X				X		4	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
X							X								105	wtInsv__insvInsv|elba3Insv__insvInsv
X							X						X		2	wtInsv__insvInsv|elba3Insv__insvInsv|elba1Elba3__elba3Elba3
	X			X		X			X						1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv
		X	X			X									3	wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba1__elba1Elba1
	X		X	X	X										6	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2
	X			X		X			X				X		1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
X				X					X	X	X		X		4	wtInsv__insvInsv|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X						X	X								1	wtInsv__insvInsv|insvElba1__elba1Elba1|elba3Insv__insvInsv
X	X						X		X	X					2	wtInsv__insvInsv|wtElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
	X		X									X			2	wtElba3__elba3Elba3|wtElba1__elba1Elba1|elba1Insv__insvInsv
X	X						X		X	X			X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
				X						X					36	insvElba3__elba3Elba3|elba2Elba3__elba3Elba3
				X						X			X		29	insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X		X	X	X	X									23	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1
X	X						X	X	X			X			1	wtInsv__insvInsv|wtElba3__elba3Elba3|elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Insv__insvInsv|elba1Insv__insvInsv
X			X				X		X						1	wtInsv__insvInsv|wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv
	X		X	X	X	X							X		1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba1Elba3__elba3Elba3
									X	X					11	elba2Insv__insvInsv|elba2Elba3__elba3Elba3
				X		X				X					1	insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3
									X	X			X		1	elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
				X		X				X			X		4	insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X	X	X	X		X	X		X	X		X			1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X		X	X		X	X		X	X					1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
					X	X			X			X			1	insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X		X	X		X	X		X	X			X		5	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X	X								X					1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|elba2Elba3__elba3Elba3
				X			X		X	X		X	X		2	insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X			X					X						10	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv
X	X			X					X				X		5	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
	X			X						X	X				24	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
	X			X						X	X		X		106	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X	X	X	X						X			X		3	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X			X		X			X						3	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv
X		X	X			X									1	wtInsv__insvInsv|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba1__elba1Elba1
X	X			X		X			X				X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
X	X	X	X	X		X				X					5	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3
X	X	X	X	X		X				X			X		25	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X				X						X					2	wtInsv__insvInsv|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3
X				X						X			X		2	wtInsv__insvInsv|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X		X	X					X	X	X		X		1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X	X	X	X			X		X	X		X	X		6	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
					X		X		X						1	insvElba2__elba2Elba2|elba3Insv__insvInsv|elba2Insv__insvInsv
X					X				X			X			1	wtInsv__insvInsv|insvElba2__elba2Elba2|elba2Insv__insvInsv|elba1Insv__insvInsv
						X	X					X			3	insvElba1__elba1Elba1|elba3Insv__insvInsv|elba1Insv__insvInsv
X	X	X	X	X		X	X		X	X		X			3	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X	X	X	X		X	X		X	X		X	X		95	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
		X			X										1	wtElba2__elba2Elba2|insvElba2__elba2Elba2
	X			X					X			X			2	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba1Insv__insvInsv
	X	X		X	X	X				X			X		1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X			X					X			X	X		1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X							X					X			39	wtInsv__insvInsv|elba3Insv__insvInsv|elba1Insv__insvInsv
X							X					X	X		2	wtInsv__insvInsv|elba3Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X					X		X		X						1	wtInsv__insvInsv|insvElba2__elba2Elba2|elba3Insv__insvInsv|elba2Insv__insvInsv
	X			X		X			X			X			1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba1Insv__insvInsv
X						X	X					X			2	wtInsv__insvInsv|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba1Insv__insvInsv
X	X						X		X	X		X			8	wtInsv__insvInsv|wtElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
	X	X	X	X	X	X			X	X					1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X	X						X		X	X		X	X		20	wtInsv__insvInsv|wtElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X	X	X	X	X			X	X			X		1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
				X						X		X			1	insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X			X				X		X			X			2	wtInsv__insvInsv|wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X			X	X	X	X	X		X						1	wtInsv__insvInsv|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv
X	X					X	X		X	X		X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
									X	X		X			1	elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X					X	X		X	X		X	X		3	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
									X	X		X	X		1	elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X			X			X	X		X			X			6	wtInsv__insvInsv|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X		X	X		X	X		X	X		X			23	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X		X	X		X	X		X	X		X	X		129	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X		X	X		X	X		X	X		X	X	X	1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3|elba1Elba2__elba2Elba2
	X			X			X		X						2	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv
X	X			X					X			X			4	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X			X					X			X	X		2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X			X		X	X		X						2	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv
X	X	X	X	X	X				X	X			X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X				X			X		X	X	X				2	wtInsv__insvInsv|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
X				X			X		X	X	X		X		1	wtInsv__insvInsv|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X	X	X	X		X				X		X	X		4	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X	X	X	X		X				X		X	X	X	1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3|elba1Elba2__elba2Elba2
X	X	X	X	X	X	X			X	X					2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
	X			X				X		X			X		1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Elba2__elba2Elba2|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X	X	X	X	X	X			X	X			X		17	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X	X		X											11	wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3
	X	X		X									X		2	wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|elba1Elba3__elba3Elba3
					X		X		X			X			1	insvElba2__elba2Elba2|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
					X	X	X		X			X			1	insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
	X	X	X	X					X						1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Insv__insvInsv
X	X			X			X		X						2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv
X	X			X			X		X				X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
X	X	X	X	X		X	X			X			X		2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X					X		X		X			X			1	wtInsv__insvInsv|insvElba2__elba2Elba2|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X					X	X	X		X			X			1	wtInsv__insvInsv|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
	X	X	X	X	X	X			X	X		X	X		1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X			X	X	X	X		X	X		X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X			X	X	X	X		X	X		X	X		10	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X								X						10	wtElba3__elba3Elba3|elba2Insv__insvInsv
	X			X		X									61	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1
